,Date,Generated,Efficiency,Exported,Peak Power,Peak Time,Conditions,Tempertature,Comments
0,['04/10/23'],['25.293kWh'],['2.581kWh/kW'],['-'],['6.851kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 22:56']
1,['03/10/23'],['33.465kWh'],['3.415kWh/kW'],['-'],['6.815kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 06:03']
2,['02/10/23'],['44.034kWh'],['4.493kWh/kW'],['-'],['6.502kW'],['1:05PM'],['Partly Cloudy'],,['Updated 06:17']
3,['01/10/23'],['42.522kWh'],['4.339kWh/kW'],['-'],['6.415kW'],['1:05PM'],['Partly Cloudy'],,['Updated 06:21']
4,['30/09/23'],['36.474kWh'],['3.722kWh/kW'],['-'],['7.291kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 06:23']
5,['29/09/23'],['40.602kWh'],['4.143kWh/kW'],['-'],['7.176kW'],['1:20PM'],['Partly Cloudy'],,['Updated 05:26']
6,['28/09/23'],['43.332kWh'],['4.422kWh/kW'],['-'],['6.623kW'],['12:20PM'],['Partly Cloudy'],,['Updated 05:31']
7,['27/09/23'],['46.422kWh'],['4.737kWh/kW'],['-'],['6.840kW'],['12:50PM'],['Partly Cloudy'],,['Updated 05:35']
8,['26/09/23'],['48.786kWh'],['4.978kWh/kW'],['-'],['6.880kW'],['1:05PM'],['Partly Cloudy'],,['Updated 06:08']
9,['25/09/23'],['50.550kWh'],['5.158kWh/kW'],['-'],['7.072kW'],['12:50PM'],['Fine'],,['Updated 05:28']
10,['24/09/23'],['51.825kWh'],['5.288kWh/kW'],['-'],['7.729kW'],['12:50PM'],['Fine'],,['Updated 05:46']
11,['23/09/23'],['36.162kWh'],['3.690kWh/kW'],['-'],['7.106kW'],['3:20PM'],['Mostly Cloudy'],,['Updated 05:32']
12,['22/09/23'],['45.984kWh'],['4.692kWh/kW'],['-'],['7.716kW'],['2:05PM'],['Partly Cloudy'],,['Updated 05:35']
13,['21/09/23'],['25.743kWh'],['2.627kWh/kW'],['-'],['7.121kW'],['11:20AM'],['Mostly Cloudy'],,['Updated 05:23']
14,['20/09/23'],['51.171kWh'],['5.222kWh/kW'],['-'],['7.577kW'],['1:50PM'],['Fine'],,['Updated 05:53']
15,['19/09/23'],['36.789kWh'],['3.754kWh/kW'],['-'],['8.158kW'],['11:35AM'],['Mostly Cloudy'],,['Updated 05:55']
16,['18/09/23'],['7.371kWh'],['0.752kWh/kW'],['-'],['2.909kW'],['5:35PM'],['Showers'],,['Updated 05:49']
17,['17/09/23'],['41.844kWh'],['4.270kWh/kW'],['-'],['6.670kW'],['12:50PM'],['Partly Cloudy'],,['Updated 05:50']
18,['16/09/23'],['28.326kWh'],['2.890kWh/kW'],['-'],['6.673kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 05:52']
19,['15/09/23'],['31.761kWh'],['3.241kWh/kW'],['-'],['7.233kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 05:55']
20,['14/09/23'],['34.413kWh'],['3.512kWh/kW'],['-'],['8.005kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 05:55']
21,['13/09/23'],['15.183kWh'],['1.549kWh/kW'],['-'],['4.934kW'],['12:35PM'],['Cloudy'],,['Updated 05:41']
22,['12/09/23'],['41.112kWh'],['4.195kWh/kW'],['-'],['7.427kW'],['12:35PM'],['Partly Cloudy'],,['Updated 05:56']
23,['11/09/23'],['49.419kWh'],['5.043kWh/kW'],['-'],['6.785kW'],['12:50PM'],['Fine'],,['Updated 05:56']
24,['10/09/23'],['51.426kWh'],['5.248kWh/kW'],['-'],['6.794kW'],['1:05PM'],['Fine'],,['Updated 06:02']
25,['09/09/23'],['51.843kWh'],['5.290kWh/kW'],['-'],['6.889kW'],['1:05PM'],['Fine'],,['Updated 06:04']
26,['08/09/23'],['49.599kWh'],['5.061kWh/kW'],['-'],['7.029kW'],['1:20PM'],['Fine'],,['Updated 06:06']
27,['07/09/23'],['51.927kWh'],['5.299kWh/kW'],['-'],['6.876kW'],['1:05PM'],['Fine'],,['Updated 06:05']
28,['06/09/23'],['53.208kWh'],['5.429kWh/kW'],['-'],['6.984kW'],['12:50PM'],['Fine'],,['Updated 06:06']
29,['05/09/23'],['53.874kWh'],['5.497kWh/kW'],['-'],['7.015kW'],['1:05PM'],['Fine'],,['Updated 06:22']
30,['04/09/23'],['53.058kWh'],['5.414kWh/kW'],['-'],['7.106kW'],['1:20PM'],['Fine'],,['Updated 06:12']
31,['03/09/23'],['51.069kWh'],['5.211kWh/kW'],['-'],['7.258kW'],['1:50PM'],['Fine'],,['Updated 06:15']
32,['02/09/23'],['54.804kWh'],['5.592kWh/kW'],['-'],['7.229kW'],['1:20PM'],['Fine'],,['Updated 06:17']
33,['01/09/23'],['57.369kWh'],['5.854kWh/kW'],['-'],['7.479kW'],['1:35PM'],['Fine'],,['Updated 06:21']
34,['31/08/23'],['31.326kWh'],['3.197kWh/kW'],['-'],['6.343kW'],['4:20PM'],['Mostly Cloudy'],,['Updated 06:09']
35,['30/08/23'],['39.060kWh'],['3.986kWh/kW'],['-'],['7.706kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 06:27']
36,['29/08/23'],['30.147kWh'],['3.076kWh/kW'],['-'],['6.460kW'],['11:20AM'],['Mostly Cloudy'],,['Updated 06:20']
37,['28/08/23'],['9.924kWh'],['1.013kWh/kW'],['-'],['2.089kW'],['12:50PM'],['Cloudy'],,['Updated 06:18']
38,['27/08/23'],['13.884kWh'],['1.417kWh/kW'],['-'],['5.243kW'],['1:05PM'],['Cloudy'],,['Updated 05:48']
39,['26/08/23'],['14.508kWh'],['1.480kWh/kW'],['-'],['5.592kW'],['3:35PM'],['Cloudy'],,['Updated 06:47']
40,['25/08/23'],['30.093kWh'],['3.071kWh/kW'],['-'],['5.177kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 06:33']
41,['24/08/23'],['48.066kWh'],['4.905kWh/kW'],['-'],['6.942kW'],['1:20PM'],['Partly Cloudy'],,['Updated 06:38']
42,['23/08/23'],['53.208kWh'],['5.429kWh/kW'],['-'],['6.819kW'],['1:05PM'],['Fine'],,['Updated 06:25']
43,['22/08/23'],['51.678kWh'],['5.273kWh/kW'],['-'],['7.719kW'],['1:50PM'],['Fine'],,['Updated 06:44']
44,['21/08/23'],['55.386kWh'],['5.652kWh/kW'],['-'],['6.975kW'],['1:20PM'],['Fine'],,['Updated 06:48']
45,['20/08/23'],['55.785kWh'],['5.692kWh/kW'],['-'],['7.015kW'],['1:50PM'],['Fine'],,['Updated 06:49']
46,['19/08/23'],['49.815kWh'],['5.083kWh/kW'],['-'],['7.398kW'],['2:35PM'],['Fine'],,['Updated 06:36']
47,['18/08/23'],['56.712kWh'],['5.787kWh/kW'],['-'],['7.353kW'],['1:35PM'],['Fine'],,['Updated 06:41']
48,['17/08/23'],['39.939kWh'],['4.075kWh/kW'],['-'],['7.385kW'],['2:35PM'],['Partly Cloudy'],,['Updated 06:46']
49,['16/08/23'],['57.813kWh'],['5.899kWh/kW'],['-'],['7.143kW'],['1:05PM'],['Fine'],,['Updated 06:47']
50,['15/08/23'],['55.221kWh'],['5.635kWh/kW'],['-'],['8.063kW'],['1:50PM'],['Fine'],,['Updated 06:56']
51,['14/08/23'],['48.060kWh'],['4.904kWh/kW'],['-'],['8.063kW'],['12:35PM'],['Partly Cloudy'],,['Updated 06:59']
52,['13/08/23'],['53.007kWh'],['5.409kWh/kW'],['-'],['7.441kW'],['1:05PM'],['Fine'],,['Updated 06:51']
53,['12/08/23'],['32.607kWh'],['3.327kWh/kW'],['-'],['7.678kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 02:35']
54,['7 DAY GAP'],[],[],[],[],[],[],,[]
55,['04/08/23'],['4.956kWh'],['0.506kWh/kW'],['-'],['3.819kW'],['8:50AM'],['Cloudy'],,['Updated 17:58']
56,['03/08/23'],['66.363kWh'],['6.772kWh/kW'],['-'],['8.815kW'],['12:50PM'],['Fine'],,['Updated 07:08']
57,['02/08/23'],['52.218kWh'],['5.328kWh/kW'],['-'],['8.037kW'],['1:35PM'],['Fine'],,['Updated 06:54']
58,['01/08/23'],['20.778kWh'],['2.120kWh/kW'],['-'],['5.441kW'],['11:50AM'],['Cloudy'],,['Updated 06:55']
59,['31/07/23'],['60.729kWh'],['6.197kWh/kW'],['-'],['7.770kW'],['12:50PM'],['Fine'],,['Updated 07:11']
60,['30/07/23'],['57.177kWh'],['5.834kWh/kW'],['-'],['8.647kW'],['1:05PM'],['Fine'],,['Updated 07:16']
61,['29/07/23'],['29.292kWh'],['2.989kWh/kW'],['-'],['8.060kW'],['11:35AM'],['Mostly Cloudy'],,['Updated 07:03']
62,['28/07/23'],['46.275kWh'],['4.722kWh/kW'],['-'],['9.094kW'],['2:35PM'],['Partly Cloudy'],,['Updated 07:21']
63,['27/07/23'],['59.370kWh'],['6.058kWh/kW'],['-'],['9.050kW'],['1:35PM'],['Fine'],,['Updated 07:27']
64,['26/07/23'],['37.479kWh'],['3.824kWh/kW'],['-'],['8.157kW'],['2:35PM'],['Mostly Cloudy'],,['Updated 07:19']
65,['25/07/23'],['33.879kWh'],['3.457kWh/kW'],['-'],['7.826kW'],['3:20PM'],['Mostly Cloudy'],,['Updated 11:50']
66,['24/07/23'],['31.569kWh'],['3.221kWh/kW'],['-'],['7.385kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 08:34']
67,['23/07/23'],['52.545kWh'],['5.362kWh/kW'],['-'],['8.353kW'],['12:35PM'],['Fine'],,['Updated 07:14']
68,['22/07/23'],['65.376kWh'],['6.671kWh/kW'],['-'],['8.072kW'],['12:35PM'],['Fine'],,['Updated 07:29']
69,['21/07/23'],['37.917kWh'],['3.869kWh/kW'],['-'],['8.163kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 07:20']
70,['20/07/23'],['64.062kWh'],['6.537kWh/kW'],['-'],['8.075kW'],['12:35PM'],['Fine'],,['Updated 07:25']
71,['19/07/23'],['53.829kWh'],['5.493kWh/kW'],['-'],['9.065kW'],['2:05PM'],['Fine'],,['Updated 07:26']
72,['18/07/23'],['44.031kWh'],['4.493kWh/kW'],['-'],['7.901kW'],['12:35PM'],['Partly Cloudy'],,['Updated 07:29']
73,['17/07/23'],['54.141kWh'],['5.525kWh/kW'],['-'],['8.008kW'],['12:50PM'],['Fine'],,['Updated 07:31']
74,['16/07/23'],['49.689kWh'],['5.070kWh/kW'],['-'],['8.248kW'],['11:50AM'],['Fine'],,['Updated 07:33']
75,['15/07/23'],['57.060kWh'],['5.822kWh/kW'],['-'],['7.670kW'],['2:20PM'],['Fine'],,['Updated 08:35']
76,['14/07/23'],['65.739kWh'],['6.708kWh/kW'],['-'],['7.694kW'],['1:05PM'],['Fine'],,['Updated 07:37']
77,['13/07/23'],['47.328kWh'],['4.829kWh/kW'],['-'],['8.596kW'],['1:20PM'],['Partly Cloudy'],,['Updated 07:39']
78,['12/07/23'],['28.545kWh'],['2.913kWh/kW'],['-'],['6.932kW'],['1:50PM'],['Mostly Cloudy'],,['Updated 07:24']
79,['11/07/23'],['59.007kWh'],['6.021kWh/kW'],['-'],['7.383kW'],['2:05PM'],['Fine'],,['Updated 08:28']
80,['10/07/23'],['58.674kWh'],['5.987kWh/kW'],['-'],['7.168kW'],['1:20PM'],['Fine'],,['Updated 07:43']
81,['09/07/23'],['55.887kWh'],['5.703kWh/kW'],['-'],['7.351kW'],['1:05PM'],['Fine'],,['Updated 07:46']
82,['08/07/23'],['54.657kWh'],['5.577kWh/kW'],['-'],['8.890kW'],['11:50AM'],['Fine'],,['Updated 07:29']
83,['07/07/23'],['64.377kWh'],['6.569kWh/kW'],['-'],['7.764kW'],['3:20PM'],['Fine'],,['Updated 07:46']
84,['06/07/23'],['60.960kWh'],['6.220kWh/kW'],['-'],['8.671kW'],['2:05PM'],['Fine'],,['Updated 07:36']
85,['05/07/23'],['31.674kWh'],['3.232kWh/kW'],['-'],['5.525kW'],['4:35PM'],['Mostly Cloudy'],,['Updated 07:35']
86,['04/07/23'],['53.568kWh'],['5.466kWh/kW'],['-'],['8.629kW'],['1:35PM'],['Fine'],,['Updated 07:41']
87,['03/07/23'],['54.408kWh'],['5.552kWh/kW'],['-'],['9.146kW'],['12:20PM'],['Fine'],,['Updated 07:33']
88,['02/07/23'],['43.716kWh'],['4.461kWh/kW'],['-'],['8.062kW'],['3:35PM'],['Partly Cloudy'],,['Updated 07:41']
89,['01/07/23'],['49.332kWh'],['5.034kWh/kW'],['-'],['8.257kW'],['11:35AM'],['Fine'],,['Updated 07:29']
90,['30/06/23'],['23.733kWh'],['2.422kWh/kW'],['-'],['6.256kW'],['12:20PM'],['Cloudy'],,['Updated 07:11']
91,['29/06/23'],['50.985kWh'],['5.203kWh/kW'],['-'],['7.802kW'],['1:05PM'],['Fine'],,['Updated 07:45']
92,['28/06/23'],['64.224kWh'],['6.553kWh/kW'],['-'],['7.647kW'],['12:50PM'],['Fine'],,['Updated 07:32']
93,['27/06/23'],['60.537kWh'],['6.177kWh/kW'],['-'],['7.421kW'],['12:05PM'],['Fine'],,['Updated 07:33']
94,['26/06/23'],['53.757kWh'],['5.485kWh/kW'],['-'],['7.886kW'],['3:05PM'],['Fine'],,['Updated 07:39']
95,['25/06/23'],['66.240kWh'],['6.759kWh/kW'],['-'],['7.770kW'],['1:05PM'],['Fine'],,['Updated 07:42']
96,['24/06/23'],['69.414kWh'],['7.083kWh/kW'],['-'],['8.072kW'],['1:05PM'],['Fine'],,['Updated 07:48']
97,['23/06/23'],['61.326kWh'],['6.258kWh/kW'],['-'],['8.574kW'],['12:20PM'],['Fine'],,['Updated 07:39']
98,['22/06/23'],['23.826kWh'],['2.431kWh/kW'],['-'],['5.788kW'],['12:50PM'],['Cloudy'],,['Updated 07:32']
99,['21/06/23'],['44.922kWh'],['4.584kWh/kW'],['-'],['7.693kW'],['1:05PM'],['Partly Cloudy'],,['Updated 07:25']
100,['20/06/23'],['54.669kWh'],['5.578kWh/kW'],['-'],['7.615kW'],['2:05PM'],['Fine'],,['Updated 07:42']
101,['19/06/23'],['51.168kWh'],['5.221kWh/kW'],['-'],['8.008kW'],['2:20PM'],['Fine'],,['Updated 07:28']
102,['18/06/23'],['51.894kWh'],['5.295kWh/kW'],['-'],['7.664kW'],['1:05PM'],['Fine'],,['Updated 07:31']
103,['17/06/23'],['64.443kWh'],['6.576kWh/kW'],['-'],['7.903kW'],['1:05PM'],['Fine'],,['Updated 07:38']
104,['16/06/23'],['63.648kWh'],['6.495kWh/kW'],['-'],['8.391kW'],['1:05PM'],['Fine'],,['Updated 07:41']
105,['15/06/23'],['67.218kWh'],['6.859kWh/kW'],['-'],['8.533kW'],['1:50PM'],['Fine'],,['Updated 07:40']
106,['14/06/23'],['70.068kWh'],['7.150kWh/kW'],['-'],['8.078kW'],['1:05PM'],['Fine'],,['Updated 07:27']
107,['13/06/23'],['63.417kWh'],['6.471kWh/kW'],['-'],['8.145kW'],['12:35PM'],['Fine'],,['Updated 07:29']
108,['12/06/23'],['67.038kWh'],['6.841kWh/kW'],['-'],['8.482kW'],['12:50PM'],['Fine'],,['Updated 07:32']
109,['11/06/23'],['66.858kWh'],['6.822kWh/kW'],['-'],['8.017kW'],['12:50PM'],['Fine'],,['Updated 07:33']
110,['10/06/23'],['51.084kWh'],['5.213kWh/kW'],['-'],['10.273kW'],['12:20PM'],['Fine'],,['Updated 07:34']
111,['09/06/23'],['52.950kWh'],['5.403kWh/kW'],['-'],['7.893kW'],['2:20PM'],['Fine'],,['Updated 07:03']
112,['08/06/23'],['56.400kWh'],['5.755kWh/kW'],['-'],['8.113kW'],['1:05PM'],['Fine'],,['Updated 07:35']
113,['07/06/23'],['65.598kWh'],['6.694kWh/kW'],['-'],['7.810kW'],['12:50PM'],['Fine'],,['Updated 07:26']
114,['06/06/23'],['68.121kWh'],['6.951kWh/kW'],['-'],['8.018kW'],['12:50PM'],['Fine'],,['Updated 07:33']
115,['05/06/23'],['68.529kWh'],['6.993kWh/kW'],['-'],['8.001kW'],['1:05PM'],['Fine'],,['Updated 07:34']
116,['04/06/23'],['58.917kWh'],['6.012kWh/kW'],['-'],['8.071kW'],['12:05PM'],['Fine'],,['Updated 07:36']
117,['03/06/23'],['59.670kWh'],['6.089kWh/kW'],['-'],['7.790kW'],['1:05PM'],['Fine'],,['Updated 07:22']
118,['02/06/23'],['68.088kWh'],['6.948kWh/kW'],['-'],['7.994kW'],['1:05PM'],['Fine'],,['Updated 07:23']
119,['01/06/23'],['66.423kWh'],['6.778kWh/kW'],['-'],['8.991kW'],['1:05PM'],['Fine'],,['Updated 07:24']
120,['31/05/23'],['50.733kWh'],['5.177kWh/kW'],['-'],['7.915kW'],['1:05PM'],['Fine'],,['Updated 07:18']
121,['30/05/23'],['65.283kWh'],['6.662kWh/kW'],['-'],['7.977kW'],['12:20PM'],['Fine'],,['Updated 07:33']
122,['29/05/23'],['68.346kWh'],['6.974kWh/kW'],['-'],['8.082kW'],['1:05PM'],['Fine'],,['Updated 07:32']
123,['28/05/23'],['66.084kWh'],['6.743kWh/kW'],['-'],['7.801kW'],['1:05PM'],['Fine'],,['Updated 07:33']
124,['27/05/23'],['68.190kWh'],['6.958kWh/kW'],['-'],['7.996kW'],['1:20PM'],['Fine'],,['Updated 07:22']
125,['26/05/23'],['63.225kWh'],['6.452kWh/kW'],['-'],['8.160kW'],['12:50PM'],['Fine'],,['Updated 07:23']
126,['25/05/23'],['47.991kWh'],['4.897kWh/kW'],['-'],['8.418kW'],['2:05PM'],['Partly Cloudy'],,['Updated 07:25']
127,['24/05/23'],['25.395kWh'],['2.591kWh/kW'],['-'],['6.026kW'],['2:35PM'],['Mostly Cloudy'],,['Updated 07:26']
128,['23/05/23'],['59.301kWh'],['6.051kWh/kW'],['-'],['8.475kW'],['1:20PM'],['Fine'],,['Updated 07:17']
129,['22/05/23'],['65.352kWh'],['6.669kWh/kW'],['-'],['8.425kW'],['1:35PM'],['Fine'],,['Updated 07:09']
130,['21/05/23'],['60.939kWh'],['6.218kWh/kW'],['-'],['8.147kW'],['1:20PM'],['Fine'],,['Updated 06:39']
131,['20/05/23'],['24.738kWh'],['2.524kWh/kW'],['-'],['3.633kW'],['11:35AM'],['Mostly Cloudy'],,['Updated 07:03']
132,['19/05/23'],['50.820kWh'],['5.186kWh/kW'],['-'],['9.842kW'],['1:05PM'],['Fine'],,['Updated 06:50']
133,['18/05/23'],['45.336kWh'],['4.626kWh/kW'],['-'],['8.819kW'],['1:35PM'],['Partly Cloudy'],,['Updated 07:06']
134,['17/05/23'],['36.459kWh'],['3.720kWh/kW'],['-'],['9.836kW'],['10:50AM'],['Mostly Cloudy'],,['Updated 07:06']
135,['16/05/23'],['13.575kWh'],['1.385kWh/kW'],['-'],['3.768kW'],['11:05AM'],['Cloudy'],,['Updated 07:04']
136,['15/05/23'],['28.056kWh'],['2.863kWh/kW'],['-'],['8.295kW'],['12:50PM'],['Mostly Cloudy'],,['Updated 06:51']
137,['14/05/23'],['41.148kWh'],['4.199kWh/kW'],['-'],['7.903kW'],['12:05PM'],['Partly Cloudy'],,['Updated 06:37']
138,['13/05/23'],['35.772kWh'],['3.650kWh/kW'],['-'],['9.819kW'],['12:20PM'],['Mostly Cloudy'],,['Updated 07:08']
139,['12/05/23'],['33.600kWh'],['3.429kWh/kW'],['-'],['9.782kW'],['1:35PM'],['Mostly Cloudy'],,['Updated 07:13']
140,['11/05/23'],['36.642kWh'],['3.739kWh/kW'],['-'],['7.737kW'],['3:20PM'],['Mostly Cloudy'],,['Updated 07:00']
141,['10/05/23'],['32.421kWh'],['3.308kWh/kW'],['-'],['9.686kW'],['1:20PM'],['Mostly Cloudy'],,['Updated 06:58']
142,['09/05/23'],['29.481kWh'],['3.008kWh/kW'],['-'],['6.151kW'],['10:05AM'],['Mostly Cloudy'],,['Updated 06:44']
143,['08/05/23'],['32.826kWh'],['3.350kWh/kW'],['-'],['9.539kW'],['1:05PM'],['Mostly Cloudy'],,['Updated 06:59']
144,['07/05/23'],['26.961kWh'],['2.751kWh/kW'],['-'],['6.391kW'],['12:05PM'],['Mostly Cloudy'],,['Updated 06:47']
145,['06/05/23'],['53.274kWh'],['5.436kWh/kW'],['-'],['7.746kW'],['11:50AM'],['Fine'],,['Updated 06:51']
146,['05/05/23'],['57.327kWh'],['5.850kWh/kW'],['-'],['8.466kW'],['1:05PM'],['Fine'],,['Updated 06:53']
147,['04/05/23'],['64.908kWh'],['6.623kWh/kW'],['-'],['8.074kW'],['1:20PM'],['Fine'],,['Updated 06:56']
148,['03/05/23'],['68.457kWh'],['6.985kWh/kW'],['-'],['8.365kW'],['12:50PM'],['Fine'],,['Updated 06:56']
149,['02/05/23'],['54.900kWh'],['5.602kWh/kW'],['-'],['9.503kW'],['1:20PM'],['Fine'],,['Updated 06:55']
150,['01/05/23'],['20.553kWh'],['2.097kWh/kW'],['-'],['4.826kW'],['2:20PM'],['Cloudy'],,['Updated 06:54']
